DATASET,SERIES_CODE,OBS_MEASURE,SCALE,DECIMALS_DISPLAYED,OVERLAP,COMMON_REFERENCE_PERIOD,IFS_FLAG,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IMF.STA:CPI(4.0.0),ISL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.0010266434312,109.394415767139,113.6304730158552,115.9537785019389,117.8473681540882,119.8471526937115,121.9569606560671,125.2289655187604,129.0033312143589,132.6772480644034,138.5737429982665,150.0874959584984,163.1995943696045,172.7579310439988
IMF.STA:CPI(4.0.0),GRC.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.3298532335065,104.8813788393728,103.9151387329221,102.5515009315863,100.7713216842263,99.93929925766332,101.0598731681602,101.6921253751093,101.9494141016288,100.6771021783917,101.909213734394,111.7386221722644,115.6101433892801,118.7795844386456
IMF.STA:CPI(4.0.0),NOR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,101.2849515880915,101.9907700660574,104.1534702741833,106.2799746629264,108.5874581485838,112.4423129128585,114.5507193919102,117.7178535879105,120.2696588544022,121.8170301330196,126.0609899556601,133.3273006967695,140.6841009863361,145.1090399058908
IMF.STA:CPI(4.0.0),SMR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.8997958430012,105.8091149480549,107.5067089613078,108.703218890836,108.8615843419247,109.5627349617816,110.6738469572942,111.9613548015218,112.4905423476661,112.3405149505633,114.155391827031,120.2346838090261,127.3668953415972,128.9490024383174
IMF.STA:CPI(4.0.0),MLT.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.9629852819288,105.4092010735721,106.6533293917082,106.9842815756079,108.1616952290157,108.8568534419835,110.3420468003468,111.6196130859748,113.4524741243592,114.1769191762187,115.8871663191789,123.0185800239511,129.2851066197896,131.4193382984901
IMF.STA:CPI(4.0.0),AUS.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.3038501560874,105.1248699271592,107.7003121748179,110.3798126951093,112.0447450572321,113.4755463059313,115.6867845993757,117.89802289282,119.7970863683663,120.8116545265349,124.2715920915713,132.4661810613944,139.8803329864724,144.3028095733611
IMF.STA:CPI(4.0.0),PRT.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.6530110043072,106.5276599068948,106.8199895602893,106.522866162199,107.0426323694947,107.6928061871265,109.1667051349882,110.2515118050402,110.6243586147142,110.6105987919763,112.0105497892527,120.7839903130848,125.9913286484835,129.035445303373
IMF.STA:CPI(4.0.0),ESP.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,103.1961018883379,105.7204104495694,107.2095681613673,107.0475585966266,106.5119293201205,106.2961382811023,108.3753718855918,110.1906391728675,110.9614436239972,110.6033122166614,114.0244221104574,123.5917282952318,127.9574347186973,131.5072020615599
IMF.STA:CPI(4.0.0),JPN.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,99.72754438389873,99.68359992968888,100.0175777816839,102.7772895060643,103.5946563543681,103.4628229917384,103.963789769731,104.9920899982422,105.4842678853929,105.4579012128669,105.2118122692916,107.8396906310424,111.3640358586746,114.4137809808403
IMF.STA:CPI(4.0.0),TUR.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,106.471879671151,115.9389013452915,124.626307922272,135.6614349775785,146.0678251121076,157.4247944693572,174.9687032884904,203.545403587444,234.4371263079222,263.2235612855007,314.8061472346786,542.4388079222722,834.593142750374,1322.883968609866
IMF.STA:CPI(4.0.0),IRL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,102.5489783020855,104.2869180535075,104.8240994312198,105.024225826838,104.6766378765536,104.6977038129345,105.0768906677902,105.5719401727407,106.5620391826417,106.2144512323573,108.7002317253002,117.2108700231725,124.5944807246682,127.2277227722773
IMF.STA:CPI(4.0.0),NZL.CPI._T.SRP_2010_IX.A,OBS_VALUE,,,OL,,,104.0279066739204,105.1305121722712,106.3231365296144,107.6282610111024,107.9432939122643,108.6408669618925,110.6515787371207,112.4201196425951,114.2409117644138,116.19964268334,120.7792107473083,129.4417672056579,136.8628744900403,140.8630996061572
