Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Honduras;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;236,5;135,4;123,2;111,7;85,5;65,4;64,6;70,8;67,4;75,8;65,8;63,4;64,2;67,8;60,9;55,6;39,2;24;22,3;23,8;21,8;24,8;27,1;37,3;35,2;38,5;39,6;41,5;42,6;43,5;53,7;51;48,7;44,9;42,6;43;43,5;41;41,5;40;34,6
Hong Kong S.A.R.;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,9;1,7;1,4;1,2;1;0,7;0,6;0,6;0,5;0,5;0,1;0,1;0,1;0,1;0,1;0,3;1;1,9;4,3;6,3;9,3;11,8;14,3;14,3;14,7;14,7;14,6
Hungary;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;83,9;71,2;62,2;60,4;60,3;55,6;52,2;55,6;58,2;58,9;60,6;64,5;65,6;71,8;78,2;80,2;80,5;78,4;77,2;76,5;75,7;74,6;72;68,8;65;78,7;76,2;73,9;73;73,5;73,5;73,4;73,5;73,4;73,4;73,2
Iceland;no data;no data;28,9;30,8;32,4;32;29,9;27,3;30,6;35,3;35,5;37,6;45,4;52,3;54,8;58,1;55,6;52;44;76,6;75,8;83,4;82,2;85,1;80,9;68,9;70,7;68,4;110,4;128,8;133,1;138,2;133,9;122;115,3;97,3;82,5;71,7;63,2;66,5;77,5;74,9;67,5;62;59,1;52,9;49,8;47,3;45;42,7;40,5
India;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;76,7;78,8;78,3;74,8;70,9;67,1;69;69,3;71,3;74,9;80,1;84,3;85,9;84,9;82,4;77,9;75,5;74,4;72,8;67,7;68,6;68;67,7;67,1;69;68,9;69,7;70,4;75;88,4;83,5;82,2;81,2;81,3;80,4;79,6;78,8;77,9;76,9;75,8
Indonesia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;87,4;73,7;62,3;55,6;51,3;42,6;35,8;38,1;30,3;26,5;26,4;23,1;23;24,9;24,6;27;28;29,4;30,4;30,6;39,7;41,1;40,1;39,6;40,2;41;41;41;40,9;40,8;40,6
Iran;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;35,8;37,7;36,2;27,1;22,2;25,6;28,5;26,8;25,7;22,2;18,2;16,1;12,4;13,3;14,8;12,3;13,6;11,8;12,6;37;47,9;45;42,9;46,6;48,3;42,4;36,9;33,5;36,8;39,9;41,9;43,2;44,3;45,1;45,3
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;344,3;227,3;143,2;117,1;74,2;87,4;53,5;40,7;34,8;32;27,6;48,3;60,3;55,9;44,4;41,7;72,5;54,7;39;42,1;42,9;50,2;56;58,2;60,4;62,4;64
Ireland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;78,5;69,8;61,6;51,4;46,6;36,4;33,6;30,9;29,8;28,1;26,1;23,7;23,9;42,5;61,8;86,1;109,4;118,7;117,5;101,3;74;72,6;65,2;61,5;55,9;57;52,6;43,1;43,3;41,1;36,7;34,3;32,8;31;29,3;28
Israel;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;77,1;81;87,1;89,5;88,2;85,2;77,5;70,7;70,1;72,5;68,9;67,1;66,8;65,9;64,7;63;61,6;59,6;59,9;59,1;71,1;67,8;60,5;61,6;67,9;69,1;69,3;69,6;69,8;70;70,2
Italy;no data;no data;no data;no data;no data;no data;no data;no data;95,7;98,4;101,7;105,3;113;124,1;130,8;119,1;118,9;116,5;113,9;113,1;108,7;108,5;105,9;105,1;104,7;106,2;106,3;103,5;105,8;116,1;118,7;119,1;125,9;131,8;134,8;134,7;134,2;133,7;134,1;133,8;154,3;145,7;138,3;134,6;135,3;137,3;138,5;138,6;138,2;137,7;137,7
Jamaica;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;82,7;91,8;108;118,4;123,2;119,9;124,7;117,1;114,5;127;141,9;141,4;139,5;143,9;138,7;137,9;121,9;113,7;101,2;94,4;94,3;109,7;94,2;77;73,4;69,2;64,6;62,2;59,8;57,3;54,8;52,4
Japan;47,8;52,8;57,7;63,5;65,6;68,3;74,1;75,8;71,9;65,7;63,2;62,4;66,8;72,8;84,4;92,5;98,1;105;116;129,5;135,6;145,1;154,1;160;169,5;174,6;174,1;173;180,9;198,8;205,9;219,2;226,1;229,5;233,3;228,3;232,4;231,3;232,4;236,4;258,4;253,7;248,3;240;236,7;234,9;233,7;232,1;231,2;231,1;231,7
Jordan;no data;no data;no data;no data;no data;no data;no data;no data;183,8;219,1;227,5;207,7;155,1;140,6;129;117,8;116,5;109;110,8;109;99,3;94,4;94,9;88,8;81,5;73;66,3;64,3;54,2;58;59,4;62,1;70,5;75,6;75;78,4;77,4;75,7;74,3;78;87,9;98,2;97,9;97;95,9;92,6;88,6;84,8;82,9;80,3;77,7
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17,6;15;11,4;8,1;6,7;4,1;6,8;10,2;10,7;10,2;12,1;12,6;14,5;21,9;19,7;19,9;20,3;19,9;26,4;25,1;23,5;23;24,8;25,4;27,9;29,9;31,8;33,5;34,6
Kenya;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38,5;38,4;43,1;41,3;42;43,8;40,8;37,4;37,1;34,2;34,3;36;36,7;35,7;37,6;39,8;41,3;45,8;50,4;53,9;56,4;59,1;68;68,2;67,8;73;65,6;68,3;70,2;69,8;68,1;66,2;64,4
Kiribati;no data;no data;no data;no data;no data;no data;no data;no data;2,5;5;7,7;8,4;7,3;10,9;12,3;12,3;11;10,7;9,8;11,8;12,7;17;13,3;12,3;13,6;12,1;12,9;11,1;13,9;10,3;9,4;8,8;8,1;8,9;9;18,8;21,2;20,2;19;19;21;17,3;16,3;11,4;9,9;8,8;16,4;22,5;27,2;33,1;39,1
Korea, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,8;11,9;11,6;10,9;9,6;8,5;7,8;9,7;13,8;15,8;16,1;16,6;16,4;19,1;21,6;24,9;27;26,3;25,9;28,8;28,3;31,7;33,5;36;37,9;38,8;39,1;38;37,9;39,7;45,9;48;49,8;50,7;52,5;54,5;55,7;56,6;57,5;58,4;59,2
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16,3;14,3;10,8;6,9;6,5;5,6;8,6;9,4;11,2;13,4;14,5;16,4;17,1;17,7;22,5;21,6;20;17,5;16,9;18,5;20;21,3;22,5;23,6;24,4
Kuwait;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;45,3;27,9;28,8;37,7;34,9;26,5;24,3;25,6;25,5;21,4;23;21,3;17,2;13,9;10,2;7,8;7;5,4;6,7;6,2;4,6;3,6;3,1;3,4;4,6;9,9;19,6;14,3;10,5;10,2;7,2;2,9;3,2;3;7,4;10,8;15,3;19,4;23,5;24,4
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;123,3;108,2;107,9;108,2;92,7;85,7;73,4;57,7;49;58,5;59,7;50,1;50,5;47,1;53,6;67,1;59,1;58,8;54,8;48,8;63,6;56,2;46,8;42;36,6;38,5;39,5;40,3;41,2;41,3;41,9
Lao P.D.R.;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;94,7;95,3;90,1;80,7;73,2;60;55,9;51,7;51,8;49,3;43;46,1;49,5;53,5;53,1;54,5;57,2;60,6;69,1;76;92,9;130,7;115,6;96,4;91,4;87,6;84,4;81,8;79,5;77,2
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9,8;14,8;15,1;17,8;15,4;15,4;15,3;12,5;10,7;9;19,3;37,6;48,2;46,8;44,4;41,8;43,1;38,3;41,7;40,3;38,3;37,9;44;45,9;44,4;44,6;47,4;48,3;48,3;48,5;48,6;48,5;48,4
Lebanon;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;148,1;163,1;163,1;171,3;169,5;178,9;183,3;169,3;161,5;144,5;136,8;134,4;131,1;135,4;138,4;140,8;146,4;150;155,1;172,1;148,7;360,9;246,5;192,1;164,1;no data;no data;no data;no data;no data;no data
Lesotho;no data;no data;no data;no data;no data;no data;no data;no data;23,3;25,5;18;11,9;64,4;71,2;67;62,8;71,6;65,7;79,4;83;88,5;108,7;79,6;52,6;49,4;41;43,7;49,6;47;35,9;33,8;36,2;39,8;41,2;41,5;45,8;41,5;41;48,2;58,2;54,7;58;64,6;61,5;59,8;59,7;60,4;60,5;60,5;60,2;59,2
Liberia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;468,1;465,2;463,6;600,1;543,4;488,5;451;366,8;235,3;132,2;25,4;22,5;20,5;20,6;24,3;24,8;28,6;31,8;37,1;48,6;58,7;53,3;54,3;58,8;56,5;56,5;55,6;54,1;52,1;49,7;47,9
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,7;28;23,5;22,9;22,1;20,4;18,6;17,6;17,3;15,9;14,6;27,9;36,7;37,5;39,9;38,9;40,7;42,6;40;39,3;33,3;35,6;45,9;43,3;38,1;37,3;38,2;41,8;45,3;47,4;47,9;48;48
Luxembourg;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,3;10,2;10,1;9,5;8,4;7,5;7,6;7,4;7,4;7,8;8;8,2;8,1;14,6;15,3;19,1;18,5;20,8;22,4;21,9;21,1;19,6;21,8;20,9;22,3;24,5;24,2;24,9;25;26;26,4;27,2;27,6;28,3;28,8;29,2
Macao S.A.R;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Madagascar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;92,7;113,8;110,9;105,2;96;95,8;98,7;89,7;108,5;104,1;90,2;82,1;86,7;85,9;81,9;74,4;32,2;28,2;31;34,9;32,3;29,9;30,4;36,2;37,8;44,1;40,3;40,1;42,9;41,3;52,1;49,5;50;52,7;50,4;51,3;52,5;53,2;54,6;55;53,2
Malawi;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;101,5;84,7;74,7;70,9;17,9;18,9;23,5;23,5;19,3;20;28,6;35,3;33,5;35,5;37,1;40;40,8;41,2;53,9;66,5;75,5;86,1;74,4;73;73,4;72,6;71,4;69,9;68,7
Malaysia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;74,1;67,3;59,1;51,1;43,7;38,2;32,8;29,6;33,6;34,4;32,5;38,1;39,5;41,4;42;40,8;39,7;39,3;39,4;50,4;51,2;51,9;53,8;55,7;55,4;57;55,8;54,4;55,6;57,1;67,7;69,2;65,5;69,7;70,4;70,1;69,8;70,1;70,4;70,6;70,8
Maldives;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38,1;39,3;38,9;39;41,8;44,3;37,6;34,7;43,2;36,8;35,8;39;48,4;52,7;51,9;57,1;55,9;55,1;54,8;61,9;63,8;70,7;77,2;155,7;123,4;111,6;123;134;140,8;144,1;147,5;149,6;150,5;149,9
Mali;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;90,5;77,5;42,6;44,1;42,4;46,6;18,1;18,5;20,1;21,9;25,3;24;25,4;26,4;26,9;30,7;37,2;38,2;37,5;40,7;47,3;51,6;50,3;51,9;51,8;51,7;50,5;49,6;48,9;48,4;48
Malta;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;45,3;51,5;60,8;66,4;69,8;64,4;70;65,1;68,6;70,4;70,2;64,5;62;61,5;66;65;68,9;65,6;64,9;60,7;55;53,1;45,6;41,4;39,2;48,6;49,6;49,3;47,7;48,6;49,3;50;50,1;50,1;50;49,9
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,7;18,1;26,1;27,3;32,7;37,2;43,7;46,8;45,8;44,4;42,2;44,1;41,2;38,8;35,9;37,6;33,4;34,9;33,9;29,2;26,5;24,7;25,1;21,7;20,1;19,8;18,7;16,7;15,3;14,2;13,3;12,6;12,1;11,7
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;55,5;63,5;59,5;22,9;22;71,1;38;61,5;57,2;54,3;43,9;38,8;39,3;40,7;49,5;59,9;57,6;55,7;59,2;57,7;56,5;54,5;50,5;47,5;44,9;45,7;47;46,9;45,2;45,4;46,6
Mauritius;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;56,9;58,2;63;66,9;59,4;58,3;55,3;48,8;48,8;56,8;54,4;54,9;51;53,5;56;59,4;59,3;58,7;68,1;83,7;80,4;74,2;73,9;76,4;82,9;83,4;82,7;81,8;80,6;79,5;78,6
Mexico;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;42,5;39,1;39,7;41,7;38,5;37,3;39,9;42,1;38,9;36,8;35,8;35,5;40,6;41,7;40,2;41,2;40,8;44,1;47,1;51;55;52,5;52,2;51,9;58,5;56,7;53,8;52,8;58,4;60,7;61,1;61,1;61,1;61,2;61,3
Federated States of Micronesia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53,9;43,4;47,2;42,1;35,9;27,1;23,8;24,3;24,9;25,7;25;25,4;26;29,2;31,1;29,4;28,6;27,3;27,9;28,4;26;24,6;23,9;21;19,7;21,5;17;15,1;12,9;10,9;9,2;7,3;5,8;4,5;3,8;3,6
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;79,5;87,5;89;159,4;150,7;89,1;85,4;80,3;68,1;49,3;40,4;35;28,3;22,2;32,6;25,5;24,2;31,3;30;35,4;42,1;39,7;34,9;31,8;28,8;36,6;33,6;35;34,9;38,1;36,3;35,3;33,4;30,9;28,8;27,1
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;40,9;36,1;31;48,5;31;32,7;43,7;49,4;44;50,5;78,7;86,9;76,5;66,8;83,4;67,7;64,5;45,9;44,4;42,6;43,3;45,4;47,2;48,5;50,5
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;76,7;40,9;45,4;38,6;36,7;31,8;34,2;43,7;45;48,6;56,9;58,7;63,4;68,8;66,4;66,2;71,9;78,8;107,3;85,6;70,6;60,5;62,6;60,3;62,9;63,3;65,5;67,9;70,6
Morocco;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;70,5;59,1;67;74,7;69,3;72,2;65,3;68;64,5;63,4;64,9;60,4;59,4;56,9;54,4;54,8;50,6;47,1;42;42,6;45,3;48,6;52,3;57,1;58,6;58,4;60,1;60,3;60,5;60,3;72,2;69,4;71,5;69,5;70;68,9;67,7;66,8;66,2;65,6;65,1
Mozambique;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;94,7;95,8;99,8;63,4;63,2;50,8;60,1;40;31,2;32,8;39,3;38,6;34,2;36,7;49,5;63,4;86;124,8;103,8;105,5;98,3;120;104,3;100,3;90,8;96,6;101,1;104,2;104,7;103,6;95,6;79,3
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;225,7;163,1;178;283,5;206,3;158;137;128,7;111,5;83,7;64,7;61;58,8;54;51,9;48,5;37,3;38,4;35,7;41,9;38,7;38,3;48,7;59,2;55,6;57,9;61,3;62,6;62,5;62,6;62,8;62,7;62,5
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17,2;16,4;18;18,7;17,7;19,6;21,8;20,9;24,4;22,2;27,1;29,2;26,9;26,1;19,4;19,1;15,9;16,3;27,4;24,6;26,1;27,6;42,1;45,8;43,8;48,7;57,6;64,3;69,6;69,4;67,2;67,7;63,9;63,6;63,3;62,7;61,2;61,6
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;246,7;242,5;188,9;123,1;126,9;112,5;82,2;61,2;78;71,1;59,6;56,3;20,5;22,4;20,5;17,6;15,2;13,2;11;9,5;8;6,9
Nepal;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;50,8;50,8;51,8;53;51,3;45,1;42,9;37,9;36,8;39,5;35,4;32,4;34,5;31,9;27,6;25,7;25;25;31,1;34;43,3;43,3;42,7;47,1;47,9;49,4;49,8;49,6;49,4;49;48,7
Netherlands;43,6;46,9;52,4;58,4;61,9;67,1;68,9;71,3;73,7;73,7;75;74,8;75,6;76,7;73,5;73;71,2;65,7;62,7;58,6;52,2;49,4;48,7;49,8;50,1;49,6;45;42,7;54,4;56,3;58,9;61,2;65,7;67,2;67,2;63,8;60,9;56;51,5;47,6;53,3;50,4;48,3;45,1;43,2;43,3;44,4;44,8;45,4;46,5;47,7
New Zealand;no data;no data;no data;no data;no data;64,1;68,5;62,9;54,7;54,9;55,5;58;58,7;54,6;48,9;43,5;37,3;34,6;34,5;32;30;28,2;26,4;24,7;22,5;20,8;18,4;16,3;19;24,3;29,6;34,7;35,7;34,5;34,2;34,2;33,3;31,1;28,1;31,8;43,2;47,5;46,9;47;51,2;55,3;58,4;59,8;59;57,1;54,8
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;86,4;86,5;99,8;95,2;87,5;110,4;109,5;84;66,6;51,2;30,9;26;29,3;30,3;28,8;27,9;28,8;28,7;28,9;30,9;34,7;39,1;44,2;49,2;48,4;45,9;42,3;39,1;38,4;38,6;38,3;38,1;38;36,8
Niger;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;69,4;63,5;69,1;61,3;63,3;82,1;74;69;60,6;55;49,5;18,3;17,8;14,2;15,9;15,1;14,7;18,1;19,6;22,1;29,9;32,8;36,5;37;39,8;45;51,3;50,6;51,9;47,2;43,4;42,2;41,8;41,8;41,9;41,9
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;71,7;75;70,2;71;55,9;34;25,2;24,1;22,3;64,9;57,6;53,1;43,3;42,1;35,5;18,9;9,4;8,1;7,3;8,6;9,4;17,4;17,6;18,3;18,2;21;24,5;25,4;28,7;30,2;35,6;36,8;40,4;48,7;52,9;52,5;51,6;49,1;47,6;46,4;45,4
North Macedonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29,8;45,6;45,2;40,5;36,5;34,6;36,7;30,6;23,5;20,6;23,7;24,3;27,7;33,7;34;38;38;39,7;39,4;40,4;40,4;50,8;52,7;50,4;50,8;54,8;52,9;54,4;55,4;56,1;56,1;56,1
Norway;47,7;43,4;38,5;35,4;35,2;36,9;46;38,5;32,4;32,3;28,9;39,2;45;53,7;50,6;32,7;28,4;25,8;23,6;25;28,7;27,2;33,9;43,1;43,8;42,3;52,6;49,5;47,5;42,5;43;29,6;30,9;31,4;29,7;34,3;37,9;38,3;39,4;40,6;46,1;41,6;36,1;44,2;42,7;42,7;42,5;42;41,4;39,3;40
Oman;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17,8;22,6;23,1;22,2;23,6;21,9;21,2;20,8;30,9;28,9;21,7;22,5;15,9;13;14,5;8,4;7,6;4,4;3,2;5,8;5,5;4,4;4,6;4,7;4;13,9;29,3;40,1;44,7;52,5;67,9;61,9;41,7;37,5;35,5;35,4;33,9;32,2;30,6;30,2;29,5
Pakistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;58,5;52,3;52,5;52,8;53,8;60,7;61,7;65,1;60,5;56,3;50,6;47,9;46,2;44,2;49,5;54,6;56,7;56,2;58,4;59,2;58,8;59,1;62,1;62,1;66,3;78,7;80,8;74,7;77,3;78,2;70,1;73,6;71,9;70;67;63,9;61
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37,1;34,6;33,9;34,8;34,2;30,5;28,6;33,7;32;36,6;34,5;30,6;30,8;27,4;27,5;21,7;23,7;26,9;29,5;30,5;52,1;69,9;68,8;76,8;69,7;64,7;60,7;54,4;48,6;43,3;38,1
Panama;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;78,4;76,7;65;60,2;58,1;55,1;53,6;57,8;57;56,5;58,8;59,3;54,7;47,4;40;39,1;38,1;35,6;34;33,7;34,7;34,3;33,6;33,6;35,6;39,9;61,5;54,4;52,7;51,5;56,6;58,1;58,3;57,9;57;55,7;54
Papua New Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;40,1;36,6;37,8;43,9;45,7;41,8;42,3;47,7;48,4;40,4;37,2;31,6;26;22,2;21,6;21,7;17,3;16,3;19,1;24,9;26,9;29,9;33,7;32,5;36,7;38,2;48,7;52,6;48,2;53,7;53,7;52;50,2;47,2;44,4;41,6;38,9
Paraguay;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;67;49,4;34,4;26,6;18,7;17,6;16,8;18;22,1;32;33,6;37,1;50,5;37,5;36;28,3;21;16,8;16;14,9;13;11,1;12,3;13,5;15,6;18,6;19,4;19,8;22,3;25,8;36,9;37,5;40,5;41,1;45,2;43,9;42,7;41,6;40,7;39,9;39,4
Peru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;44,9;43,8;45,5;49,4;46,7;40,4;34,9;31,9;28;28,3;25,1;23;20,6;19,9;20,5;23,9;24,2;25,1;25,9;26,9;34,9;36,1;34;33;32,8;33,7;34,7;35,5;35,9;35,9;36
Philippines;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;73,9;63,6;60,8;53,1;56,9;50,8;54,2;59,2;59,5;65,2;71,4;71,1;64,7;57,2;50,2;50;49,8;47,6;45,4;45,7;43,9;40,3;39,7;37,4;38,1;37,1;37;51,6;57;57,4;56,5;57,1;58,1;58,1;57,2;55,8;54,2;52,5
Poland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;48,6;43;42,6;38,6;39,2;36,3;37;41,4;46,2;45;46,5;47,1;44,4;46,6;49,7;53,7;54,8;54,5;56,9;51,1;51,1;54,1;50,4;48,2;45,2;56,6;53;48,8;49,7;55,3;60,7;64,3;65,7;66,8;67,2;67,7
Portugal;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;60,2;63,9;58,1;57,2;60,4;62,2;63,3;58,7;55,6;55,4;54,2;57,4;60;63,9;67,1;72,2;73,7;72,7;75,6;87,8;100,1;114;128,6;130,8;132,5;131;131,2;126;121,1;116,1;134,1;123,9;111,2;97,7;94,9;91,8;87,9;84,7;81,6;78,7;75,8
Puerto Rico;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;33,4;36,9;40,8;46,5;48,3;50;53,7;52,3;54,5;52,7;49,9;51,2;52,5;48,8;50,2;48,9;16,7;16,7;17,7;18,7;19,5;20,2;21,2;21,7;22,2
Qatar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,6;21,8;19,9;46,3;54,8;50,2;57,8;54,4;76,6;81,8;51,6;59,2;47,7;38,8;30,1;19,1;13,9;9,4;11,4;36;30,4;33,5;32,1;30,9;24,9;35,5;46,7;51,6;52,2;62,1;72,6;58,4;42,6;43,7;40,8;40,5;39,3;37,2;36,4;36,2;35,4
Romania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;29,6;27,4;27,4;24,9;21,3;17,8;12,7;12,4;13;22,5;30,2;32,6;36,2;39,3;40,5;39,4;39,5;37,1;36,2;36,5;49,3;51,5;51,7;52,1;57,2;61,6;65,7;68,9;71,5;73,7;75,7
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;51,5;135,2;92,4;55,9;44,4;37,6;28,3;20,8;14,9;9,8;8;7,4;9,9;10,1;10,3;11,2;12,3;15,1;15,3;14,8;14,3;13,6;13,7;19,2;16,5;18,5;19,5;20,3;21,4;22,5;23,7;24,7;25,9;27,2
Rwanda;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;100,8;83,4;72,2;70,1;78,4;86;84;92;79,5;80,9;58,9;22,5;22,1;18,3;18,5;18,8;18,7;19,1;26,7;29,1;33,1;41,1;45,6;49,2;53,6;68,7;67,3;60,9;63,4;67,2;77,6;80,9;82,2;81,4;80;78,5
Saint Kitts and Nevis;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;50,7;67,2;79;89,2;96,5;105,2;119,7;140,7;153,1;130,1;140,3;135,4;123,4;129,1;134,9;127,1;121,4;91,5;69,3;62,2;57,4;53,3;53,9;54,3;68;69,1;60,2;55,9;52,2;60,2;64,6;66,3;67,5;67,9;67,9
Saint Lucia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16,7;19,3;22,1;22,7;23,4;22,7;23,9;26,6;29,1;28,8;32,8;38;47,7;44,7;48,8;50,4;48;48,2;46,9;50,2;52,2;54,9;60,2;61,2;61,9;60,6;60,2;59,9;60,3;62,1;95;81,9;73,4;74,8;74;73,6;73,8;74;74;73,8;73,6
Saint Vincent and the Grenadines;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;55,3;53,5;50,7;49,3;54,2;47,6;41,2;39,3;39,9;53,4;54,2;51,9;53,2;55,3;58,5;50,5;44,7;48,4;50,2;57,2;61,1;64;67,8;69,9;75;75,1;79,4;69;69,4;68,2;80;88,4;86,3;89,2;92,7;93,5;90,1;86,3;82,4;78,5;74,6
